brand,product_name,full_price_usd,sale_price_usd,image_url
Ramy Brook,Zelda Floral Burnout Halter Maxi Dress,$595,$300,/static/images/zelda_floral_burnout_halter_maxi_dress.jpg
Altuzarra,Nelly Floral-Embroidered Mesh Knit Maxi Dress,"$1,495",$300,/static/images/nelly_floralembroidered_mesh_knit_maxi_dress.jpg
SIMKHAI,Annette Tie-Waist Cape Gown,"$1,295",$465,/static/images/annette_tiewaist_cape_gown.jpg
Generation Love,Isabel Embellished Strapless Crepe Minidress,$465,$300,/static/images/isabel_embellished_strapless_crepe_minidress.jpg
Mac Duggal,Floral Embroidered Linen Strapless Trapeze Gown,$558,$385,/static/images/floral_embroidered_linen_strapless_trapeze_gown.jpg
Milly,Paillette Sequined Crochet Cover-Up Minidress,$385,$300,/static/images/paillette_sequined_crochet_coverup_minidress.jpg
Cinq à Sept,Nova Short-Sleeve Denim Minidress,$395,$595,/static/images/nova_shortsleeve_denim_minidress.jpg
Toccin,Fleur Mixed-Media Midi-Dress,$595,$300,/static/images/fleur_mixedmedia_mididress.jpg
Amur,Calypso Lace Halter Midi-Dress,$698,$300,/static/images/calypso_lace_halter_mididress.jpg
Shoshanna,Remington Strapless Cocktail Dress,$635,$300,/static/images/remington_strapless_cocktail_dress.jpg
Staud,Gwen Cotton Poplin A-Line Minidress,$345,$300,/static/images/gwen_cotton_poplin_aline_minidress.jpg
Marella,Embroidered Poplin Dress,$555,$798,/static/images/embroidered_poplin_dress.jpg
Veronica Beard,Teresia Lace Minidress,$798,"$1,798",/static/images/teresia_lace_minidress.jpg
Bow-Detail Bead-Embellished Organza Strapless,Gown,"$1,798","$1,798",/static/images/gown.jpg
Toteme,Sculpted Cotton Maxi Dress,"$1,180",$348,/static/images/sculpted_cotton_maxi_dress.jpg
Dress The Population,Fall Francesca Cocktail Minidress,$348,$300,/static/images/fall_francesca_cocktail_minidress.jpg
Self-Portrait,Satin Georgette Lace-Trimmed Maxi Dress,$780,"$6,200",/static/images/satin_georgette_lacetrimmed_maxi_dress.jpg
Valentino Garavani,Embroidered Crepe Couture Short Dress,"$6,200",$495,/static/images/embroidered_crepe_couture_short_dress.jpg
Nicholas the Label,Vicky Pleated Linen-Blend Midi-Dress,$495,$300,/static/images/vicky_pleated_linenblend_mididress.jpg
Staud,Josie Floral Jacquard Midi-Shiftdress,$695,$300,/static/images/josie_floral_jacquard_midishiftdress.jpg
Hervé Léger,The Champagne Bandage Minidress,$395,$300,/static/images/the_champagne_bandage_minidress.jpg
Et Ochs,Selena Ruched Strapless Gown,$598,$300,/static/images/selena_ruched_strapless_gown.jpg
Cinq à Sept,Zelda Belted Midi-Dress,$425,"$2,225",/static/images/zelda_belted_mididress.jpg
Erdem,Appliqué Cotton Midi-Shirtdress,"$2,225",$300,/static/images/applique_cotton_midishirtdress.jpg
Toteme,Slouch Cotton-Linen Shirtdress,$720,$298,/static/images/slouch_cottonlinen_shirtdress.jpg
Shoshanna,Floral Cotton-Blend Mini-Shirtdress,$298,$300,/static/images/floral_cottonblend_minishirtdress.jpg
SIGN UP FOR DAILY EMAILS,Enter Your Email Address,,,/static/images/enter_your_email_address.jpg
Stella McCartney,Sculpted Column Gown,"$2,400","$1,125",/static/images/sculpted_column_gown.jpg
Zimmermann,Luna Tiered Lace Frill Minidress,"$1,125","$1,125",/static/images/luna_tiered_lace_frill_minidress.jpg
Milly,Ariel Cady 3D Lace Minidress,$450,$300,/static/images/ariel_cady_3d_lace_minidress.jpg
Bronx Banco,Chloe Embroidered Strapless Minidress,"$1,100",$300,/static/images/chloe_embroidered_strapless_minidress.jpg
Zhivago,Dream Of That Strapless Floral Applique Gown,"$1,125",$300,/static/images/dream_of_that_strapless_floral_applique_gown.jpg
Brunello Cucinelli,Viscose And Linen Fluid Twill Mini Dress,"$2,500",$425,/static/images/viscose_and_linen_fluid_twill_mini_dress.jpg
A.L.C.,Sophia Shift Halterneck Minidress,$425,"$1,295",/static/images/sophia_shift_halterneck_minidress.jpg
SIMKHAI,Alicia Lace Midi-Dress,"$1,295",$890,/static/images/alicia_lace_mididress.jpg
Chiara Boni La Petite Robe,Alima Wrap Peplum Midi-Dress,$890,$300,/static/images/alima_wrap_peplum_mididress.jpg
Oscar de la Renta,Point D'Esprit Strapless Ballgown,"$18,990",$950,/static/images/point_desprit_strapless_ballgown.jpg
Zhivago,Odette Floral Applique Tea-Length Dress,$950,$300,/static/images/odette_floral_applique_tealength_dress.jpg
3.1 Phillip Lim,Floral-Appliquéd Layered Midi-Dress,$995,$300,/static/images/floralappliqued_layered_mididress.jpg
Mac Duggal,Petite High-Low Bubble Hem Satin Gown,$598,$425,/static/images/petite_highlow_bubble_hem_satin_gown.jpg
Milly,Haddy Pleated Midi-Dress,$425,$300,/static/images/haddy_pleated_mididress.jpg
Mac Duggal,Petite Leena 1 Classic A-Line V-Neck Ballgown,$398,$895,/static/images/petite_leena_1_classic_aline_vneck_ballgown.jpg
Naya Keyhole Silk-Blend Crepe de Chine Shift,Minidress,$895,$300,/static/images/minidress.jpg
Ungaro,Meadow Floral Lace Halter Maxi Dress,$995,$300,/static/images/meadow_floral_lace_halter_maxi_dress.jpg
Dress The Population,Anica Sequin Pointed Bodice Strapless Minidress,$288,$300,/static/images/anica_sequin_pointed_bodice_strapless_minidress.jpg
Ganni,Floral Satin Cloqué A-Line Midi-Dress,$780,$300,/static/images/floral_satin_cloque_aline_mididress.jpg
Shoshanna,Azalea Ottoman-Knit Minidress,$550,$300,/static/images/azalea_ottomanknit_minidress.jpg
Adam Lippes,Cari Printed Cotton Midi-Dress,"$1,890",$300,/static/images/cari_printed_cotton_mididress.jpg
Nicholas the Label,Fabiana Cowlneck Satin Maxi Dress,$695,$300,/static/images/fabiana_cowlneck_satin_maxi_dress.jpg
Mac Duggal,Embellished Floral Lace Maxi Dress,$898,$898,/static/images/embellished_floral_lace_maxi_dress.jpg
Acler,Jackhill 3D Floral Minidress,$875,$300,/static/images/jackhill_3d_floral_minidress.jpg
Ramy Brook,Lily Appliquéd Strapless Minidress,$565,$300,/static/images/lily_appliqued_strapless_minidress.jpg
PatBO,Seaweed Shell Embroidered Cotton Midi-Dress,$895,$640,/static/images/seaweed_shell_embroidered_cotton_mididress.jpg
Shoshanna,Ester Lace Strapless Minidress,$640,$300,/static/images/ester_lace_strapless_minidress.jpg
Ungaro,Abigal Satin Cape Gown,"$1,295",$300,/static/images/abigal_satin_cape_gown.jpg
Monique Lhuillier,Floral Appliqué Scoopneck Cocktail Dress,"$3,295",$300,/static/images/floral_applique_scoopneck_cocktail_dress.jpg
Zimmermann,Dawning Petal Linen-Silk Midi-Dress,"$2,100","$2,450",/static/images/dawning_petal_linensilk_mididress.jpg
Givenchy,Sliced Long Dress in Crepe Cady,"$2,450",$598,/static/images/sliced_long_dress_in_crepe_cady.jpg
Mac Duggal,Mesh Ruffle Flutter-Sleeve Midi-Dress,$598,"$1,900",/static/images/mesh_ruffle_fluttersleeve_mididress.jpg
Ulla Johnson,Annalisa Crochet Maxi Dress,"$1,900","$8,000",/static/images/annalisa_crochet_maxi_dress.jpg
Prada,Long Floral Print Silk and Wool Dress,"$8,000","$1,690",/static/images/long_floral_print_silk_and_wool_dress.jpg
Proenza Schouler,Virginie Fringe Embroidered Midi-Dress,"$1,690","$1,690",/static/images/virginie_fringe_embroidered_mididress.jpg
Versace,Wool Crepe Belted Minidress,"$3,450",$475,/static/images/wool_crepe_belted_minidress.jpg
Milly,Nalani Pleated Midi-Dress,$475,$300,/static/images/nalani_pleated_mididress.jpg
SIMKHAI,Audria Belted Midi-Shirtdress,$595,"$2,295",/static/images/audria_belted_midishirtdress.jpg
Jason Wu Collection,Embellished Washed-Twill Cap-Sleeve Gown,"$2,295",$300,/static/images/embellished_washedtwill_capsleeve_gown.jpg
Hervé Léger,The Donna Pointelle-Knit Fit & Flare Minidress,$790,$300,/static/images/the_donna_pointelleknit_fit_and_flare_minidress.jpg
Amur,Galilea Ruched Midi-Dress,$398,$300,/static/images/galilea_ruched_mididress.jpg
Aknvas,Nora Ruffled Shift Minidress,$695,$300,/static/images/nora_ruffled_shift_minidress.jpg
Brunello Cucinelli,Dazzling Degrade Mini Dress in Cotton and Silk Fil,"$9,900","$3,200",/static/images/dazzling_degrade_mini_dress_in_cotton_and_silk_fil.jpg
Khaite,Loell Scarf Midi-Dress,"$3,200",$495,/static/images/loell_scarf_mididress.jpg
Ramy Brook,Ari Sequinned Minidress,$495,$300,/static/images/ari_sequinned_minidress.jpg
The New Arrivals Ilkyaz Ozel,Lydia Sequined Cowlneck Minidress,"$1,750",$300,/static/images/lydia_sequined_cowlneck_minidress.jpg
Oscar de la Renta,Alliums-Print Jersey Maxi Dress,"$2,690","$1,990",/static/images/alliumsprint_jersey_maxi_dress.jpg
Carolina Herrera,Leaf-Embroidered Knit Maxi Dress,"$1,990","$3,550",/static/images/leafembroidered_knit_maxi_dress.jpg
Miu Miu,Embroidered Slubbed Canvas Mini-Dress,"$3,550","$3,550",/static/images/embroidered_slubbed_canvas_minidress.jpg
Giambattista Valli,Sequined Tweed Bouclé Minidress,"$3,550",$300,/static/images/sequined_tweed_boucle_minidress.jpg
Prada,Floral Print Silk and Wool Dress,"$6,500","$10,490",/static/images/floral_print_silk_and_wool_dress.jpg
Ulla Johnson,Sigrid Cotton-Blend Lace Gown,"$1,700",$195,/static/images/sigrid_cottonblend_lace_gown.jpg
Staud,Wells Mini Dress,$195,$300,/static/images/wells_mini_dress.jpg
The Attico,Feather-Trimmed Minidress,"$1,750",$300,/static/images/feathertrimmed_minidress.jpg
SIMKHAI,Lilibeth Floral Sleeveless Midi-Dress,"$1,295",$695,/static/images/lilibeth_floral_sleeveless_mididress.jpg
PatBO,Aquamist Floral Appliqué Minidress,$695,$798,/static/images/aquamist_floral_applique_minidress.jpg
Mac Duggal,Embellished Satin Strapless Ball Gown,$798,$798,/static/images/embellished_satin_strapless_ball_gown.jpg
Staud,Marieta Faille V-Neck Midi-Dress,$475,$300,/static/images/marieta_faille_vneck_mididress.jpg
Brunello Cucinelli,Crispy Silk Maxi Dress with Monili,"$7,500","$1,125",/static/images/crispy_silk_maxi_dress_with_monili.jpg
Zhivago,Aonia Floral Appliqué Mermaid Gown,"$1,125",$300,/static/images/aonia_floral_applique_mermaid_gown.jpg
rag & bone,Kali Sequin-Embellished A-Line Minidress,$568,$300,/static/images/kali_sequinembellished_aline_minidress.jpg
Khaite,Adira Cotton Midi-Dress,"$1,980",$855,/static/images/adira_cotton_mididress.jpg
Rebecca Vallance,Irena Embroidered Halterneck Midi-Dress,$855,$300,/static/images/irena_embroidered_halterneck_mididress.jpg
Oscar de la Renta,Porcelain Floral Strapless Cocktail Dress,"$5,490",$290,/static/images/porcelain_floral_strapless_cocktail_dress.jpg
Loulou de Saison,Igari Asymmetric Pleated Dress,$290,$300,/static/images/igari_asymmetric_pleated_dress.jpg
